finished	medkorrekt	hpo_id	hpo_label	definition	MANUAL PREFERED LABEL	MANUAL PREFERRED DEFINITION	OFFICIAL COMMENT	chemical_phenotype	correct_pattern	KM review	defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	biological_process	biological_process_label	chemical_entity	chemical_entity_label	role	role_label	add_definitions	add_synonym	curator_comment	time
to do	ignore	HP:0033153	Elevated circulating dodecenoylcarnitine concentration	An abnormally increased circulation of dodecenoylcarnitine, C12:1, in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033153				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_86063	o-decenoylcarnitin						
to do	ignore	HP:0033154	Elevated circulating deoxypyridinoline concentration	An increased concentration of lysyl-pyridinoline (deoxypyridinoline) cross-links in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033154				UBERON:0000178										
to do	ignore	HP:0033155	Elevated circulating L-alloisoleucine concentration	Abnormally increased concentration of L-alloisoleucine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033155				UBERON:0000178										
to do	ignore	HP:0033157	Elevated circulating 3-methylhistidine concentration	Abnormal increase of the concentration of 3-methylhistidine in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033157				UBERON:0000178										
to do	ignore	HP:0033168	Reduced mevalonate kinase activity	Abnormally reduced activity of mevalonate kinase, which is a key enzyme in the mevalonate biosynthetic pathway that leads to the synthesis of both cholesterol and nonsterol isoprenoids.				Yes	activity	OK	HP:0033168				UBERON:0000178										
to do	ignore	HP:0033175	Elevated circulating 5-oxoproline concentration	Concentration of L-pyroglutamic acid in the blood is above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033175				UBERON:0000178										
to do	ignore	HP:0033177	Elevated circulating suberic acid concentration	An increased concentration of suberic acid in the blood circulation. Suberic acid is an alpha,omega-dicarboxylic acid that is the 1,6-dicarboxy derivative of hexane.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033177				UBERON:0000178										
to do	ignore	HP:0033178	Increased circulating interleukin 8 concentration	An increased concentration of interleukin-8 in the circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033178				UBERON:0000178										
to do	ignore	HP:0033179	Elevated circulating aconitic acid concentration	Concentration of aconitic acid in the blood circulation above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033179				UBERON:0000178										
to do	ignore	HP:0033182	Increased circulating cathepsin D level	An increase in concentration of cathepsin D in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033182				UBERON:0000178										
to do	ignore	HP:0033191	Increased circulating selenium concentration	An increased concentration of selenium in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0033191				UBERON:0000178										
to do	ignore	HP:0033192	Decreased circulating selenium concentration	An abnormally reduced concentration of selenium in the blood circulation.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0033192				UBERON:0000178										
to do	ignore	HP:0033199	Increased circulating interleukin 10 concentration	An elevation of the concentration of interleukin 10 in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033199				UBERON:0000178										
