finished	medkorrekt	hpo_id	hpo_label	definition	MANUAL PREFERED LABEL	MANUAL PREFERRED DEFINITION	OFFICIAL COMMENT	chemical_phenotype	correct_pattern	KM review	defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	biological_process	biological_process_label	chemical_entity	chemical_entity_label	role	role_label	add_definitions	add_synonym	curator_comment	time
to do	ignore	HP:0032655	Decreased adipose tissue tocopherol level	A reduced concentration of tocopherol in fat tissue.	Decreased fat tissue tocopherol concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0032655	Decreased fat tissue tocopherol concentration			UBERON:0001013										
done	ignore	HP:0034900	Decreased amniotic fluid alpha-fetoprotein concentration	Concentration of alpha-fetoprotein in the amniotic fluid below lower limit of normal.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0034900				UBERON:0000173			PR:000003809	alphafetoprotein						
to do	ignore	HP:0030685	Decreased adiponectin level	A reduced circulating concentration of adiponectin, a 30-kDa complement C1-related protein that is the most abundant secreted protein expressed in adipose tissue.	Decreased circulating adiponectin concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0030685	Decreased circulating adiponectin concentration			UBERON:0000178			http://purl.obolibrary.org/obo/PR_Q15848	adiponectin (human)				Decreased circulating adiponectin level		
to do	ignore	HP:0000816	Abnormality of Krebs cycle metabolism	An abnormality of the tricarboxylic acid cycle.	Decreased krebs cycle enzyme activity			Yes	process	OK	HP:0000816	Decreased krebs cycle enzyme activity			UBERON:0000178	http://purl.obolibrary.org/obo/GO_0072350	tricarboxylic acid metabolic process								
to do	ignore	HP:0000825	Hyperinsulinemic hypoglycemia	An increased concentration of insulin combined with a decreased concentration of glucose in the blood.				Yes	modifier	OK	HP:0000825				UBERON:0000178										
to do	ignore	HP:0000837	Increased circulating gonadotropin level	Overproduction of gonadotropins (FSH, LH) by the anterior pituitary gland.	Increased circulating gonadotropin level			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0000837	Increased circulating gonadotropin level			UBERON:0000178										
done	ignore	HP:0000842	Hyperinsulinemia	An increased concentration of insulin in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0000842				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_145810	insulin gene translation product						
to do	ignore	HP:0000845	Elevated circulating growth hormone concentration	Acromegaly is a condition resulting from overproduction of growth hormone by the pituitary gland in persons with closed epiphyses, and consists chiefly in the enlargement of the distal parts of the body. The circumference of the skull increases, the nose becomes broad, the tongue becomes enlarged, the facial features become coarsened, the mandible grows excessively, and the teeth become separated. The fingers and toes grow chiefly in thickness.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0000845				UBERON:0000178	http://purl.obolibrary.org/obo/GO_0030252	growth hormone secretion								
to do	ignore	HP:0001579	Primary hypercortisolism	Hypercortisolemia associated with a primary defect of the adrenal gland leading to overproduction of cortisol.				Yes	combination_phenotype	OK	HP:0001579				UBERON:0000178										
done	ignore	HP:0001900	Increased hemoglobin					Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0001900				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_35143	hemoglobin					DUPLICATE	
to do	ignore	HP:0001943	Hypoglycemia	A decreased concentration of glucose in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0001943				UBERON:0000178										
to do	ignore	HP:0001951	Episodic ammonia intoxication					Yes	modifier	OK	HP:0001951				UBERON:0000178										
to do	ignore	HP:0001958	Nonketotic hypoglycemia					Yes	combination_phenotype	OK	HP:0001958				UBERON:0000178										
to do	ignore	HP:0001985	Hypoketotic hypoglycemia	A decreased concentration of glucose in the blood associated with a reduced concentration of ketone bodies.				Yes	combination_phenotype	OK	HP:0001985				UBERON:0000178										
done	ignore	HP:0001987	Hyperammonemia	An increased concentration of ammonia in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0001987				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16134	ammonia						
to do	ignore	HP:0001988	Recurrent hypoglycemia	Recurrent episodes of decreased concentration of glucose in the blood.				Yes	modifier	OK	HP:0001988				UBERON:0000178										
to do	ignore	HP:0001998	Neonatal hypoglycemia					Yes	modifier	OK	HP:0001998				UBERON:0000178										
done	ignore	HP:0002148	Hypophosphatemia	An abnormally decreased phosphate concentration in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0002148				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_26020	phosphate						
done	ignore	HP:0002149	Hyperuricemia	An abnormally high level of uric acid in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0002149				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_27226	uric acid						
to do	next	HP:0002152	Hyperproteinemia	An increased concentration of proteins in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0002152				UBERON:0000178			http://purl.obolibrary.org/obo/PR_000000001  http://purl.obolibrary.org/obo/CHEBI_36080	protein						2
done	ignore	HP:0002153	Hyperkalemia	An abnormally increased potassium concentration in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0002153				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_26216	potassium atom						
done	ignore	HP:0002154	Hyperglycinemia	An elevated concentration of glycine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0002154				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_15428	glycine						
done	ignore	HP:0002155	Hypertriglyceridemia	An abnormal increase in the level of triglycerides in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0002155				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_17855	triglyceride						
to do	ignore	HP:0002157	Azotemia	An increased concentration of nitrogen compounds in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0002157				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_51143	nitrogen molecular entity						
done	ignore	HP:0002160	Hyperhomocystinemia	An increased concentration of homocystine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0002160				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_17485	homocystine						
done	ignore	HP:0002161	Hyperlysinemia	An increased concentration of lysine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0002161				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_25094	lysine						
to do	ignore	HP:0002720	Decreased circulating IgA level	Decreased levels of immunoglobulin A (IgA).	Decreased circulating IgA concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0002720	Decreased circulating IgA concentration			UBERON:0000178										
to do	ignore	HP:0002850	Decreased circulating total IgM	An abnormally decreased level of immunoglobulin M (IgM) in blood.	Decreased circulating total IgM concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0002850	Decreased circulating total IgM concentration			UBERON:0000178										
done	ignore	HP:0002900	Hypokalemia	An abnormally decreased potassium concentration in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0002900				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_26216	potassium atom						
done	ignore	HP:0002901	Hypocalcemia	An abnormally decreased calcium concentration in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0002901				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom						
done	ignore	HP:0002902	Hyponatremia	An abnormally decreased sodium concentration in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0002902				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_26708	sodium atom						
to do	ignore	HP:0002904	Hyperbilirubinemia	An increased amount of bilirubin in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0002904				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16990	bilirubin IXalpha						
done	ignore	HP:0002905	Hyperphosphatemia	An abnormally increased phosphate concentration in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0002905				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_26020	phosphate						
to do	ignore	HP:0002910	Elevated circulating hepatic transaminase concentration	Elevations of the levels of SGOT and SGPT in the serum. SGOT (serum glutamic oxaloacetic transaminase) and SGPT (serum glutamic pyruvic transaminase) are transaminases primarily found in the liver and heart and are released into the bloodstream as the result of liver or heart damage. SGOT and SGPT are used clinically mainly as markers of liver damage.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0002910				UBERON:0000178										
done	ignore	HP:0002912	Methylmalonic acidemia	Increased concentration of methylmalonic acid in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0002912				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_30860	methylmalonic acid						
done	ignore	HP:0002917	Hypomagnesemia	An abnormally decreased magnesium concentration in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	Ok	HP:0002917				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_25107	magnesium atom						
done	ignore	HP:0002918	Hypermagnesemia	An abnormally increased magnesium concentration in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0002918				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_25107	magnesium atom						
done	ignore	HP:0002920	Decreased circulating ACTH concentration	The concentration of corticotropin, also known as adrenocorticotropic hormone (ACTH), is below the lower limit of normal in the blood circulation.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0002920				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin						
to do	ignore	HP:0002925	Elevated circulating thyroid-stimulating hormone concentration	Increased concentration of thyroid-stimulating hormone (TSH) in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0002925				UBERON:0000178										
done	ignore	HP:0002932	Aldehyde oxidase deficiency	A reduction in aldehyde oxidase level.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0002932				UBERON:0000178			http://purl.obolibrary.org/obo/PR_000004089	aldehyde oxidase						
to do	ignore	HP:0002961	Dysgammaglobulinemia	Selective deficiency of one or more, but not all, classes of immunoglobulins.				Yes	combination_phenotype	Ok	HP:0002961				UBERON:0000178										
done	ignore	HP:0003072	Hypercalcemia	An abnormally increased calcium concentration in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003072				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom						
done	next	HP:0003073	Hypoalbuminemia	Reduction in the concentration of albumin in the blood.	Hypoalbuminemia			Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0003073	Hypoalbuminemia			UBERON:0000178			http://purl.obolibrary.org/obo/PR_000003918	albumin						2
to do	ignore	HP:0003074	Hyperglycemia	An increased concentration of glucose in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003074				UBERON:0000178										
to do	next	HP:0003075	Hypoproteinemia	A decreased concentration of protein in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	Ok	HP:0003075				UBERON:0000178			http://purl.obolibrary.org/obo/PR_000000001   http://purl.obolibrary.org/obo/CHEBI_36080  	protein						2
done	ignore	HP:0003077	Hyperlipidemia	An elevated lipid concentration in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003077				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_18059	lipid						
to do	ignore	HP:0003107	Abnormal circulating cholesterol concentration	Any deviation from the normal concentration of cholesterol in the blood circulation.				Yes	abnormalLevelOfChemicalEntityInLocation	OK	HP:0003107				UBERON:0000178										
done	ignore	HP:0003111	Abnormal blood ion concentration	Abnormality of the homeostasis (concentration) of a monoatomic ion.				Yes	abnormalLevelOfChemicalEntityInBlood	OK	HP:0003111				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_24870	ion						
done	ignore	HP:0003112	Abnormal circulating amino acid concentration	The presence of an abnormal decrease or increase of one or more amino acids in the blood circulation.				Yes	abnormalLevelOfChemicalEntityInBlood	OK	HP:0003112				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_33709	amino acid						
done	ignore	HP:0003113	Hypochloremia	An abnormally decreased chloride concentration in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0003113				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_17996	chloride						
done	ignore	HP:0003118	Increased circulating cortisol level	Overproduction of the hormone of cortisol by the adrenal cortex, resulting in a characteristic combination of clinical symptoms termed Cushing syndrome, with truncal obesity, a round, full face, striae atrophicae and acne, muscle weakness, and other features.	Increased circulating cortisol concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003118	Increased circulating cortisol concentration			UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_17650	cortisol						
to do	ignore	HP:0003119	Abnormal circulating lipid concentration	Any deviation from the normal concentration of a lipid in the blood circulation.				Yes	abnormalLevelOfChemicalEntityInLocation	OK	HP:0003119				UBERON:0000178										
done	ignore	HP:0003124	Hypercholesterolemia	An increased concentration of cholesterol in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003124				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol						
done	ignore	HP:0003138	Increased blood urea nitrogen	An increased amount of nitrogen in the form of urea in the blood.	Increased circulating blood urea nitrogen concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003138	Increased circulating blood urea nitrogen concentration			UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16199	urea						
to do	ignore	HP:0003139	Panhypogammaglobulinemia	A reduction in the circulating levels of all the major classes of immunoglobulin. is characterized by profound decreases in all classes of immunoglobulin with an absence of circulating B lymphocytes.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0003139				UBERON:0000178										
done	ignore	HP:0003141	Increased LDL cholesterol concentration	An elevated concentration of low-density lipoprotein cholesterol in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003141				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_47774	low-density lipoprotein cholesterol						
done	ignore	HP:0003144	Increased serum serotonin	A increased concentration of serotonin in the blood.	Increased serum serotonin concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003144	Increased serum serotonin concentration			UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_28790	serotonin						
to do	ignore	HP:0003145	Decreased circulating adenosylcobalamin concentration	The concentration of adenosylcobalam in the blood circulation is below the lower limit of normal. Adenosylcobalamin is one of the active forms of vitamin B12.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0003145				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_18408	cobamamide						
done	ignore	HP:0003146	Hypocholesterolemia	An decreased concentration of cholesterol in the blood.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0003146				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol						
done	ignore	HP:0003154	Increased circulating ACTH level	An abnormal increased in the concentration of corticotropin, also known as adrenocorticotropic hormone (ACTH), in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003154				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin						
done	ignore	HP:0003155	Elevated circulating alkaline phosphatase concentration	Abnormally increased serum levels of alkaline phosphatase activity.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003155				UBERON:0000178			http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme						
to do	ignore	HP:0003162	Fasting hypoglycemia					Yes	modifier	Ok	HP:0003162				UBERON:0000178										
done	ignore	HP:0003165	Elevated circulating parathyroid hormone level	An abnormal increased concentration of parathyroid hormone.	Elevated circulating parathyroid hormone concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003165	Elevated circulating parathyroid hormone concentration			UBERON:0000178			http://purl.obolibrary.org/obo/PR_000013429	parathyroid hormone						
to do	ignore	HP:0003212	Increased circulating IgE level	An abnormally increased overall level of immunoglobulin E in blood.	Increased circulating IgE concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003212	Increased circulating IgE concentration			UBERON:0000178										
done	ignore	HP:0003217	Hyperglutaminemia	An increased concentration of glutamine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003217				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_28300	glutamine						
done	ignore	HP:0003223	Decreased circulating methylcobalamin concentration	The concentration of methylcobalamin in the blood circulation is below the lower limit of normal. Methylcobalamin is a form of vitamin B12.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	Ok	HP:0003223				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_28115	methylcobalamin						
done	ignore	HP:0003228	Hypernatremia	An abnormally increased sodium concentration in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003228				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_26708	sodium atom						
done	ignore	HP:0003231	Hypertyrosinemia	An increased concentration of tyrosine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003231				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_18186	tyrosine						
done	ignore	HP:0003233	Decreased HDL cholesterol concentration	An decreased concentration of high-density lipoprotein cholesterol in the blood.	Decreased circulating HDL cholesterol concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	Ok	HP:0003233	Decreased circulating HDL cholesterol concentration			UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_47775	high-density lipoprotein cholesterol						
done	ignore	HP:0003234	Decreased circulating carnitine concentration	Concentration of carnitine in the blood circulation below the lower limit of normal.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0003234				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_17126	carnitine						
done	ignore	HP:0003235	Hypermethioninemia	An increased concentration of methionine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003235				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16811	methionine						
done	next	HP:0003236	Elevated circulating creatine kinase concentration	An elevation of the level of the enzyme creatine kinase (also known as creatine phosphokinase (CK; EC 2.7.3.2) in the blood. CK levels can be elevated in a number of clinical disorders such as myocardial infarction, rhabdomyolysis, and muscular dystrophy.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003236				UBERON:0000178			http://purl.obolibrary.org/obo/PR_000050097	creatine kinase (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000029971).  KI: Synonyms for creatine kinase include creatine phosphokinase (CPK), CK, and CPK (not found in CHEBI).	3
to do	ignore	HP:0003237	Increased circulating IgG level	An abnormally increased level of immunoglobulin G in blood.	Increased circulating IgG concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003237	Increased circulating IgG concentration			UBERON:0000178										
to do	next	HP:0003238	Hyperpepsinogenemia I	[definition missing] 	Hyperpepsinogenemia I 	The concentration of pepsinogen I in the blood circulation is above the upper limit of normal. 	Synonyms for Pepsinogen I: Pepsinogen A, PGA, PGI, and PG I .   Pepsinogen I is one of two main groups of pepsinogens, the other being pepsinogen II (PGII). According to KI PGI itself contains several molecular components, which were previously identified as Pg1 through Pg5. This is probably the reason why the spelling using Arabic numerals ("Pepsinogen 1") is not used to avoid confusion.  As far as I can see, the spelling with hyphen ist not correct.	Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003238	Hyperpepsinogenemia I 			UBERON:0000178			Not found   						Need text definition.  [Gastricsin = Pepsinogen C --> http://purl.obolibrary.org/obo/PR_P20142 (subclass)]  Regarding pepsinogen see e.g. PMID:10675278.	18
to do	ignore	HP:0003258	Glyoxalase deficiency		Needs discussion			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0003258	Needs discussion			UBERON:0000178										
done	ignore	HP:0003259	Elevated circulating creatinine concentration	An increased amount of creatinine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003259				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16737	creatinine						
to do	ignore	HP:0003260	Hydroxyprolinemia	An increased concentration of hydroxyproline in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003260				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_24741	hydroxyproline						
to do	ignore	HP:0003261	Increased circulating IgA level	An abnormally increased level of immunoglobulin A in blood.	Increased circulating IgA concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003261	Increased circulating IgA concentration			UBERON:0000178										
done	ignore	HP:0003267	Reduced orotidine 5-prime phosphate decarboxylase level	An abnormal decrease in orotidine 5'-phosphate decarboxylase level.	Reduced orotidine 5-prime phosphate decarboxylase concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0003267	Reduced orotidine 5-prime phosphate decarboxylase concentration			UBERON:0000178			http://purl.obolibrary.org/obo/PR_000023661	orotidine 5'-phosphate decarboxylase						
to do	next	HP:0003281	Increased circulating ferritin concentration	Increased concentration of ferritin in the blood circulation.	Hyperferritinemia			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003281	Hyperferritinemia			UBERON:0000178			http://purl.obolibrary.org/obo/PR_000050342   http://purl.obolibrary.org/obo/CHEBI_82594	ferritin complex (human)  / Ferritin					PR: Selected human specific; species neutral term exists in GO.  CHEBI: species neutral term.  Q: Why ist PR_000050342 subclass in GO (Gene Ontology) and not in PR?  	2
to do	ignore	HP:0003282	Low alkaline phosphatase	Abnormally reduced serum levels of alkaline phosphatase.	Decreased circulating alkaline phosphatase activity			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0003282	Decreased circulating alkaline phosphatase activity			UBERON:0000178			http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme						
done	ignore	HP:0003286	Cystathioninemia	An increased concentration of cystathionine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003286				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_17755	cystathionine						
done	ignore	HP:0003292	Decreased serum leptin	A decreased concentration of leptin in the blood.	Decreased circulating leptin concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0003292	Decreased circulating leptin concentration			UBERON:0000178			http://purl.obolibrary.org/obo/PR_000009758	leptin						
to do	next	HP:0003333	Increased serum beta-hexosaminidase		Increased circulating beta-hexosaminidase activity			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003333	Increased circulating beta-hexosaminidase activity			UBERON:0000178			http://purl.obolibrary.org/obo/PR_000023341	beta-hexosaminidase					Q: Does http://purl.obolibrary.org/obo/PR_000023341 refer only to E. coli? Or does "a protein that is a translation product of the Escherichia coli K-12 nagZ gene or a 1:1 ortholog thereof" also include human genes?  KI: Synonyms for serum beta-hexosaminidase include N-acetyl-β-d-glucosaminidase, beta-N-acetylhexosaminidase, Hexosaminidase A (HexA), and B-NAH (not found in CHEBI).	16
done	ignore	HP:0003334	Elevated circulating catecholamine level	An abnormal increase in catecholamine concentration in the blood.	Elevated circulating catecholamine concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003334	Elevated circulating catecholamine concentration			UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_33567	catecholamine						
to do	ignore	HP:0003343	Reduced glutathione synthetase level	Reduced level of the enzyme glutathione synthetase, which catalyzes the last step in the synthesis of glutathione and a deficiency results in low levels of glutathione. Acidosis is due to reduced feedback inhibition of gamma-glutamyl cysteine synthetase in the gamma-glutamyl cycle, which ultimately leads to overproduction and accumulation of 5-oxoproline.	Reduced circulating glutathione synthetase concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0003343	Reduced circulating glutathione synthetase concentration			UBERON:0000178										
done	ignore	HP:0003348	Hyperalaninemia	An increased concentration of alanine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003348				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_16449	alanine						
to do	ignore	HP:0003349	Low cholesterol esterification rate	A reduction in the rate of cholesterol esterification.				Yes	process	OK	HP:0003349				UBERON:0000178										
to do	ignore	HP:0003353	Propionyl-CoA carboxylase deficiency	An abnormality of amino acid metabolism characterized by a decreased level of propionyl-CoA carboxylase.	Reduced circulating propionyl-CoA carboxylase activity			Yes	process	OK	HP:0003353	Reduced circulating propionyl-CoA carboxylase activity			UBERON:0000178										
done	ignore	HP:0003354	Hyperthreoninemia	An increased concentration of threonine in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	Ok	HP:0003354				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_26986	threonine						
done	ignore	HP:0003362	Increased VLDL cholesterol concentration	An increase in the amount of very-low-density lipoprotein cholesterol in the blood.	Increased circulating VLDL cholesterol concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003362	Increased circulating VLDL cholesterol concentration			UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_47773	very-low-density lipoprotein cholesterol						
done	ignore	HP:0003452	Increased circulating iron concentration	The concentration of iron in the blood circulation is above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003452				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_18248	iron atom						
done	ignore	HP:0003455	Elevated circulating long chain fatty acid concentration	Increased concentration of long-chain fatty acids in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0003455				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_15904	long-chain fatty acid						
to do	ignore	HP:0003460	Decreased circulating total IgA	Undetectable serum immunoglobulin A level at a value < 5 mg/dL (0.05 g/L).	Decreased circulating total IgA concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0003460	Decreased circulating total IgA concentration			UBERON:0000178										
to do	ignore	HP:0003462	Elevated 8-dehydrocholesterol		Elevated circulating 8-dehydrocholesterol concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003462	Elevated circulating 8-dehydrocholesterol concentration			UBERON:0000178										
to do	ignore	HP:0003465	Elevated 8(9)-cholestenol		Elevated ciculating 8(9)-cholestenol concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003465	Elevated ciculating 8(9)-cholestenol concentration			UBERON:0000178										
to do	ignore	HP:0003466	Paradoxical increased cortisol secretion on dexamethasone suppression test		needs discussion			Yes	method_observed	Ok	HP:0003466	needs discussion			UBERON:0000178										
to do	ignore	HP:0003496	Increased circulating IgM level	An abnormally increased level of immunoglobulin M in blood.	Increased circulating IgM concentration			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0003496	Increased circulating IgM concentration			UBERON:0000178										
